pair,instrument,condition,old_ceiling_frac,new_ceiling_frac,old_low_impr,new_low_impr,old_high_deg,new_high_deg,unchanged
Ministral,phq8,Clinical,1.22,1.22,0.101,0.101,-0.562,-0.562,True
Qwen3,phq8,Clinical,0.099,0.1,3.259,3.259,0.357,0.363,False
Gemma,phq8,Clinical,0.461,0.461,3.595,3.595,3.07,3.07,True
GLM,phq8,Clinical,0.935,0.935,0.115,0.115,1.65,1.65,True
Phi4,phq8,Clinical,-0.901,-0.901,2.68,2.68,-1.27,-1.27,True
Qwen2.5,phq8,Clinical,0.909,0.909,0.45,0.45,4.47,4.47,True
Phi3med,phq8,Clinical,0.885,0.885,0.32,0.32,2.47,2.47,True
Llama3.1,phq8,Clinical,8.782,8.782,5.175,5.175,-5.84,-5.84,True
DeepSeekR1,phq8,Clinical,0.105,0.105,4.43,4.43,0.52,0.52,True
Yi1.5,phq8,Clinical,-0.234,-0.234,1.845,1.845,-0.35,-0.35,True
